"TimeStamp" "BatteryLevel" "ACC_X" "ACC_Y" "ACC_Z" "ACC_G_X" "ACC_G_Y" "ACC_G_Z" "ROT_A" "ROT_B" "ROT_G" "mag"
"1871" 1488117982447 100 -6.45798397064209 -0.477768898010254 -3.82373070716858 -0.70348984003067 8.02791976928711 -4.21376037597656 101.919998168945 43.3300018310547 123.059997558594 7.52028833263194
"1872" 1488117982496 100 -4.91561937332153 -2.77695178985596 -1.9085156917572 -1.01694965362549 5.03449869155884 -2.77567434310913 133.210006713867 49.560001373291 101.360000610352 5.95963146614299
"1873" 1488117982550 100 -4.50677299499512 -2.81115293502808 -1.52681255340576 -0.29910284280777 4.29750919342041 -2.77567434310913 122.779998779297 41.6500015258789 84.4899978637695 5.5267296139554
"1874" 1488117982563 100 -4.91285705566406 -1.93881225585938 -0.888368964195251 1.33519518375397 4.68514680862427 -2.35932302474976 71.9599990844727 46.5499992370605 73.1500015258789 5.35577789209038
"1875" 1488117982593 100 -3.36175084114075 -2.33780956268311 -1.08780407905579 0.624526739120483 3.70169687271118 -2.83070921897888 121.590003967285 39.5499992370605 56.7000007629395 4.23674875154209
"1876" 1488117982648 100 -3.34790539741516 -2.60532283782959 -0.160053491592407 1.44765758514404 2.78285264968872 -1.94297194480896 32.689998626709 39.2700004577637 58.0999984741211 4.24520844712352
"1877" 1488117982692 100 -3.13200354576111 -3.28641247749329 0.367749929428101 2.01475667953491 1.28016018867493 -1.32323098182678 72.6600036621094 26.1100006103516 29.8899993896484 4.55468914345184
"1878" 1488117982744 100 -2.77742743492126 -2.18119335174561 0.686622858047485 2.35453748703003 1.84008061885834 -0.832702279090881 59.5 5.32000017166138 -4.90000009536743 3.59766014836669
"1879" 1488117982792 100 -2.05731558799744 -1.87895286083221 1.41262865066528 2.14875459671021 1.67258298397064 0.246460735797882 66.5 -36.1199989318848 -33.3899993896484 3.12386475163814
"1880" 1488117982844 100 -1.01606154441833 -3.64138841629028 3.70669436454773 1.36151599884033 -1.00019991397858 3.46720004081726 -3.92000007629395 -94.7799987792969 -57.8199996948242 5.29449466639723
"1881" 1488117982892 100 0.708985924720764 -2.82696914672852 4.88727045059204 -0.540777921676636 -0.892522811889648 5.86959362030029 24.0100002288818 -208.460006713867 -117.459999084473 5.690327587691
"1882" 1488117982945 100 5.59403038024902 1.59565472602844 -6.0902681350708 -6.82432985305786 3.92901468276978 -6.63051176071167 37.4500007629395 -362.459991455078 -136.009994506836 8.42203395011589
"1883" 1488117983006 100 5.45149564743042 -3.22006845474243 -6.79987239837646 -8.04466915130615 -1.69172561168671 -9.04008388519287 -31.5699996948242 -454.929992675781 -137.270004272461 9.29117378383282
"1884" 1488117983056 100 30.7415885925293 -3.04887652397156 1.61797165870667 -41.0201606750488 -2.28275275230408 -0.217746868729591 -530.530029296875 -528.780029296875 -290.709991455078 30.9347498703178
"1885" 1488117983117 100 8.77575397491455 8.32668590545654 -6.44879627227783 -21.2482643127441 11.1744813919067 -9.89671421051025 7.90999984741211 134.119995117188 60.9000015258789 13.7089215242375
"1886" 1488117983170 100 -1.27770519256592 4.83131885528564 -4.60198736190796 -10.8753786087036 8.88694381713867 -9.20040225982666 -200.270004272461 113.400001525879 94.0800018310547 6.79356019475128
"1887" 1488117983226 100 -2.39851570129395 7.75674104690552 -2.6019492149353 -9.15493869781494 13.7515516281128 -7.85085153579712 -27.2999992370605 177.729995727539 115.919998168945 8.52584593780611
"1888" 1488117983277 100 -5.864098072052 2.80375576019287 -3.42536783218384 -4.22333192825317 9.49950504302979 -9.53061199188232 65.1699981689453 156.169998168945 102.199996948242 7.34723331242574
"1889" 1488117983326 100 -4.60130882263184 3.27670431137085 3.10776376724243 -4.33579444885254 10.7916297912598 -2.22053956985474 -98.5599975585938 190.889999389648 151.690002441406 6.44724977477767
"1890" 1488117983376 100 -5.72547435760498 -2.83618640899658 6.64972257614136 -1.78025984764099 3.96969270706177 2.98384976387024 -111.650001525879 41.9300003051758 171.43000793457 9.22192064083253
"1891" 1488117983405 100 -6.21132707595825 7.30234146118164 -1.77829122543335 0.2584248483181 15.9338064193726 -5.88873672485352 339.149993896484 194.039993286133 142.240005493164 9.75023561472633
"1892" 1488117983453 100 -4.99203300476074 -6.50509166717529 0.85342001914978 0.287138730287552 0.500099956989288 -3.0436704158783 126.559997558594 66.2900009155273 60.9700012207031 8.24408496123491
"1893" 1488117983493 100 -5.15175247192383 -3.38744235038757 2.34048366546631 1.73479652404785 2.77088856697083 -0.97148597240448 156.240005493164 32.1300010681152 111.51000213623 6.59493616326096
"1894" 1488117983545 100 -4.86030578613281 -3.28997397422791 -0.124184370040894 2.65842604637146 2.04586338996887 -3.46720004081726 70.2099990844727 18.6900005340576 76.9300003051758 5.87042782457765
"1895" 1488117983593 100 -4.07584190368652 -3.1469144821167 1.23680460453033 2.89292240142822 1.40219402313232 -1.79700982570648 69.7900009155273 -18.4099998474121 43.1199989318848 5.29577601597634
"1896" 1488117983645 100 -2.23463129997253 -3.05543804168701 2.44427990913391 1.61036968231201 0.729810893535614 0.0215354058891535 45.9900016784668 -78.9599990844727 8.47000026702881 4.50597192041859
"1897" 1488117983693 100 0.773572266101837 -2.58217716217041 0.967666745185852 -1.59122693538666 0.557527661323547 -1.21316111087799 18.7600002288818 -230.229995727539 -75.6699981689453 2.86398880539973
"1898" 1488117983746 100 4.82831144332886 2.72564601898193 -3.15009593963623 -6.85304403305054 6.54676246643066 -6.11844778060913 27.0200004577637 -352.730010986328 -106.120002746582 6.37689909309259
"1899" 1488117983805 100 7.54951095581055 -7.30271768569946 -2.24442362785339 -11.4616212844849 -5.30728054046631 -5.77388143539429 -221.690002441406 -404.040008544922 -118.440002441406 10.7406814816471
"1900" 1488117983855 100 30.1535186767578 20.3448791503906 0.754253387451172 -41.6040077209473 27.42653465271 -2.58664107322693 -517.369995117188 -162.259994506836 -168.839996337891 36.382931360819
"1901" 1488117983919 100 1.40631294250488 2.50281524658203 -4.01953077316284 -13.2083806991577 10.2101745605469 -8.36530780792236 65.870002746582 118.230003356934 9.44999980926514 4.93947647905963
"1902" 1488117983967 100 -4.34015607833862 1.5485725402832 -1.45833539962769 -6.37687253952026 9.64307498931885 -6.16869640350342 -178.639999389648 55.1599998474121 44.7299995422363 4.83340189045626
"1903" 1488117984022 100 -2.82127666473389 1.17568778991699 0.659533500671387 -7.19043254852295 9.56411170959473 -3.88594388961792 -18.6900005340576 76.370002746582 48.2299995422363 3.12679200408977
"1904" 1488117984073 100 -2.45993280410767 1.39231586456299 -0.0141081809997559 -6.93679285049438 10.1288185119629 -4.56311273574829 21.4899997711182 95.3400039672852 73.9199981689453 2.82666091143064
